probe_id,action,Q_hat,V_s,A_hat,prob,logit,ppo_action,dqn_action,harder_available
37,hint,0.5814321775790823,4.140970230102539,-3.5595380525234566,0.020102273672819138,-3.9069223403930664,no_action,scaffold,1
37,scaffold,0.7210547793831111,4.140970230102539,-3.419915450719428,0.07551401853561401,-2.583436965942383,no_action,scaffold,1
37,encouragement,0.5504498084126679,4.140970230102539,-3.590520421689871,0.2888652980327606,-1.2417948246002197,no_action,scaffold,1
37,simplify_problem,0.8924675743210813,4.140970230102539,-3.248502655781458,0.019146395847201347,-3.9556407928466797,no_action,scaffold,1
37,harder_problem,0.8473105223861293,4.140970230102539,-3.29365970771641,0.09181644767522812,-2.3879637718200684,no_action,scaffold,1
37,break,0.6658916345936718,4.140970230102539,-3.475078595508867,0.16569846868515015,-1.7975856065750122,no_action,scaffold,1
37,no_action,0.8452363158834593,4.140970230102539,-3.29573391421908,0.33885714411735535,-1.082176685333252,no_action,scaffold,1
38,hint,0.6102127173267698,4.154751777648926,-3.544539060322156,0.028769386932253838,-3.54844331741333,encouragement,scaffold,1
38,scaffold,0.8409978823580999,4.154751777648926,-3.3137538952908256,0.05161022022366524,-2.9640355110168457,encouragement,scaffold,1
38,encouragement,0.6562737892772348,4.154751777648926,-3.498477988371691,0.34189388155937195,-1.0732548236846924,encouragement,scaffold,1
38,simplify_problem,0.7949015992532944,4.154751777648926,-3.3598501783956314,0.03469236567616463,-3.3612356185913086,encouragement,scaffold,1
38,harder_problem,0.7541882894211969,4.154751777648926,-3.400563488227729,0.029721660539507866,-3.5158791542053223,encouragement,scaffold,1
38,break,0.7857194385060322,4.154751777648926,-3.3690323391428936,0.18628844618797302,-1.6804590225219727,encouragement,scaffold,1
38,explanation,1.0819504475121957,4.154751777648926,-3.07280133013673,0.05119811370968819,-2.972052574157715,encouragement,scaffold,1
38,no_action,0.6171726330325142,4.154751777648926,-3.5375791446164113,0.2758259177207947,-1.2879853248596191,encouragement,scaffold,1
39,hint,0.6368395547184655,4.108720302581787,-3.4718807478633216,0.028512729331851006,-3.5574047565460205,no_action,scaffold,1
39,scaffold,0.7564895789153921,4.108720302581787,-3.352230723666395,0.05230537801980972,-2.9506561756134033,no_action,scaffold,1
39,encouragement,0.7699771839419376,4.108720302581787,-3.3387431186398495,0.37729063630104065,-0.9747394323348999,no_action,scaffold,1
39,simplify_problem,0.8165912525769188,4.108720302581787,-3.2921290500048683,0.027880430221557617,-3.5798304080963135,no_action,scaffold,1
39,harder_problem,0.7055344743814596,4.108720302581787,-3.4031858282003276,0.06334744393825531,-2.7591207027435303,no_action,scaffold,1
39,explanation,0.8031332375760543,4.108720302581787,-3.305587065005733,0.05360664054751396,-2.9260823726654053,no_action,scaffold,1
39,no_action,0.5708239006284803,4.108720302581787,-3.537896401953307,0.3970567286014557,-0.9236761331558228,no_action,scaffold,1
40,hint,0.6731656831802455,4.18718147277832,-3.5140157895980746,0.022665029391646385,-3.7869319915771484,no_action,scaffold,1
40,scaffold,0.5416074823269048,4.18718147277832,-3.6455739904514157,0.05905071645975113,-2.8293585777282715,no_action,scaffold,1
40,encouragement,0.5772144280294911,4.18718147277832,-3.6099670447488292,0.30586281418800354,-1.184618592262268,no_action,scaffold,1
40,simplify_problem,0.6785423787827943,4.18718147277832,-3.508639093995526,0.01901290938258171,-3.962637186050415,no_action,scaffold,1
40,harder_problem,0.6319670200677439,4.18718147277832,-3.5552144527105765,0.1351872980594635,-2.001094102859497,no_action,scaffold,1
40,explanation,0.5148665086250377,4.18718147277832,-3.6723149641532826,0.05063042417168617,-2.9832024574279785,no_action,scaffold,1
40,no_action,0.47744987518089066,4.18718147277832,-3.70973159759743,0.4075907766819,-0.8974915742874146,no_action,scaffold,1
41,scaffold,0.5632795647478749,4.05954647064209,-3.496266905894215,0.0848836675286293,-2.4664735794067383,no_action,scaffold,1
41,encouragement,0.561203972113152,4.05954647064209,-3.4983424985289377,0.32344651222229004,-1.1287214756011963,no_action,scaffold,1
41,simplify_problem,0.5672757764617984,4.05954647064209,-3.4922706941802915,0.02638707309961319,-3.634881019592285,no_action,scaffold,1
41,harder_problem,0.6493039271867341,4.05954647064209,-3.4102425434553556,0.12075861543416977,-2.113961696624756,no_action,scaffold,1
41,explanation,0.5921831937134923,4.05954647064209,-3.4673632769285976,0.0625399500131607,-2.7719497680664062,no_action,scaffold,1
41,no_action,0.5547399270390647,4.05954647064209,-3.504806543603025,0.38198426365852356,-0.9623758792877197,no_action,scaffold,1
42,hint,0.519436475438734,3.8604228496551514,-3.3409863742164174,0.027675796300172806,-3.5871968269348145,encouragement,scaffold,1
42,scaffold,0.4554406488158011,3.8604228496551514,-3.4049822008393504,0.05381111055612564,-2.9222753047943115,encouragement,scaffold,1
42,encouragement,0.5510340542409359,3.8604228496551514,-3.3093887954142156,0.33186373114585876,-1.103030800819397,encouragement,scaffold,1
42,simplify_problem,0.5368389965599032,3.8604228496551514,-3.323583853095248,0.029138991609215736,-3.535677909851074,encouragement,scaffold,1
42,harder_problem,0.4451268368452394,3.8604228496551514,-3.415296012809912,0.04226570203900337,-3.1637792587280273,encouragement,scaffold,1
42,break,0.46922055306495547,3.8604228496551514,-3.391202296590196,0.1987547129392624,-1.6156837940216064,encouragement,scaffold,1
42,no_action,0.41650904773379327,3.8604228496551514,-3.443913801921358,0.31648990511894226,-1.1504639387130737,encouragement,scaffold,1
43,hint,0.441630178637888,3.6851227283477783,-3.2434925497098903,0.03733621910214424,-3.2877914905548096,no_action,scaffold,1
43,scaffold,0.4566238776237314,3.6851227283477783,-3.228498850724047,0.10661596804857254,-2.2385220527648926,no_action,scaffold,1
43,simplify_problem,0.39827826602632455,3.6851227283477783,-3.286844462321454,0.035285428166389465,-3.344285249710083,no_action,scaffold,1
43,harder_problem,0.44052312588080184,3.6851227283477783,-3.2445996024669763,0.10220140963792801,-2.2808098793029785,no_action,scaffold,1
43,break,0.5299693530555882,3.6851227283477783,-3.15515337529219,0.2751515507698059,-1.2904331684112549,no_action,scaffold,1
43,no_action,0.43057301558360095,3.6851227283477783,-3.2545497127641774,0.44340944290161133,-0.8132616877555847,no_action,scaffold,1
44,scaffold,0.5598220476736978,3.920262575149536,-3.360440527475838,0.0796738713979721,-2.529813766479492,no_action,scaffold,1
44,simplify_problem,0.45858303010640256,3.920262575149536,-3.4616795450431335,0.0312516950070858,-3.465681791305542,no_action,scaffold,1
44,harder_problem,0.3915829086002829,3.920262575149536,-3.5286796665492535,0.09194329380989075,-2.3865833282470703,no_action,scaffold,1
44,break,0.3307618692088729,3.920262575149536,-3.5895007059406634,0.2554020583629608,-1.3649163246154785,no_action,scaffold,1
44,explanation,0.4336919478953059,3.920262575149536,-3.4865706272542303,0.069857157766819,-2.6613028049468994,no_action,scaffold,1
